l1,subject,list,context,mat_verb,wh,emb_verb,response
,6601,red,mst,predict,where,view,1
,6601,red,mst,predict,where,bury,1
,6985,green,mst,predict,where,locate,1
,6985,green,mst,predict,where,display,1
,7009,blue,mst,predict,where,find,0
,7009,blue,mst,predict,where,hide,1
,7042,red,mst,predict,where,view,1
,7042,red,mst,predict,where,bury,1
,7099,red,mst,predict,where,view,1
,7099,red,mst,predict,where,bury,1
,7351,red,mst,predict,where,view,1
,7351,red,mst,predict,where,bury,1
,7378,red,mst,predict,where,view,0
,7378,red,mst,predict,where,bury,0
,7387,green,mst,predict,where,locate,1
,7387,green,mst,predict,where,display,1
,7408,blue,mst,predict,where,find,0
,7408,blue,mst,predict,where,hide,1
,7543,green,mst,predict,where,locate,1
,7543,green,mst,predict,where,display,1
,7564,red,mst,predict,where,view,1
,7564,red,mst,predict,where,bury,1
,7645,red,mst,predict,where,view,0
,7645,red,mst,predict,where,bury,0
,7648,red,mst,predict,where,view,1
,7648,red,mst,predict,where,bury,1
,7678,blue,mst,predict,where,find,1
,7678,blue,mst,predict,where,hide,0
,7750,green,mst,predict,where,locate,0
,7750,green,mst,predict,where,display,1
,7846,blue,mst,predict,where,find,1
,7846,blue,mst,predict,where,hide,1
,7906,green,mst,predict,where,locate,1
,7906,green,mst,predict,where,display,1
,7948,blue,mst,predict,where,find,1
,7948,blue,mst,predict,where,hide,1
,7966,green,mst,predict,where,locate,1
,7966,green,mst,predict,where,display,1
,7987,blue,mst,predict,where,find,1
,7987,blue,mst,predict,where,hide,1
,7990,blue,mst,predict,where,find,0
,7990,blue,mst,predict,where,hide,1
,8140,blue,mst,predict,where,find,0
,8140,blue,mst,predict,where,hide,1
,8167,blue,mst,predict,where,find,1
,8167,blue,mst,predict,where,hide,1
,8428,green,mst,predict,where,locate,1
,8428,green,mst,predict,where,display,1
,8515,blue,mst,predict,where,find,1
,8515,blue,mst,predict,where,hide,1
,8563,green,mst,predict,where,locate,1
,8563,green,mst,predict,where,display,1
,8587,blue,mst,predict,where,find,1
,8587,blue,mst,predict,where,hide,1
,8593,blue,mst,predict,where,find,1
,8593,blue,mst,predict,where,hide,1
,8602,blue,mst,predict,where,find,1
,8602,blue,mst,predict,where,hide,1
,8605,green,mst,predict,where,locate,1
,8605,green,mst,predict,where,display,1
,8608,blue,mst,predict,where,find,1
,8608,blue,mst,predict,where,hide,1
,8650,green,mst,predict,where,locate,0
,8650,green,mst,predict,where,display,0
,8653,green,mst,predict,where,locate,1
,8653,green,mst,predict,where,display,1
,8719,green,mst,predict,where,locate,1
,8719,green,mst,predict,where,display,1
,8749,green,mst,predict,where,locate,0
,8749,green,mst,predict,where,display,1
,8767,red,mst,predict,where,view,1
,8767,red,mst,predict,where,bury,1
,8779,green,mst,predict,where,locate,1
,8779,green,mst,predict,where,display,1
,8968,red,mst,predict,where,view,1
,8968,red,mst,predict,where,bury,0
,9055,green,mst,predict,where,locate,1
,9055,green,mst,predict,where,display,1
,9157,blue,mst,predict,where,find,1
,9157,blue,mst,predict,where,hide,1
,9313,blue,mst,predict,where,find,1
,9313,blue,mst,predict,where,hide,0
,9325,red,mst,predict,where,view,1
,9325,red,mst,predict,where,bury,1
,9421,blue,mst,predict,where,find,1
,9421,blue,mst,predict,where,hide,1
,9430,green,mst,predict,where,locate,1
,9430,green,mst,predict,where,display,1
,9490,red,mst,predict,where,view,1
,9490,red,mst,predict,where,bury,1
,9493,blue,mst,predict,where,find,1
,9493,blue,mst,predict,where,hide,1
,9502,red,mst,predict,where,view,1
,9502,red,mst,predict,where,bury,0
,9511,blue,mst,predict,where,find,1
,9511,blue,mst,predict,where,hide,1
,9541,blue,mst,predict,where,find,1
,9541,blue,mst,predict,where,hide,1
,9610,blue,mst,predict,where,find,1
,9610,blue,mst,predict,where,hide,1
,9631,blue,mst,predict,where,find,1
,9631,blue,mst,predict,where,hide,1
,9634,blue,mst,predict,where,find,1
,9634,blue,mst,predict,where,hide,1
,9643,green,mst,predict,where,locate,1
